TITLE,PLAY #,ODK,HASH,DN,DIST,YARD LN,GN/LS,RESULT,PLAY TYPE,PERSONNEL,OFF FORM,MOTION,PROTECTION,OFF PLAY,BLITZ,DEF FRONT,DEF STUNT,COVERAGE,FORM TREE,RB GAP HIT,SERIES,O-LINE SCHEME,FILM,COV: LOADED/BALANCED,PRACTICE,PASS ZONE
,1,K,,,,,0,Touchback,KO Rec,,,,,,,,,,,,,,,,,
,2,O,L,1,10,-25,1,Rush,Run,PRO,UNDER WEAK LIZ,,,22 KILL 26,,,, 3 SKY,,,, ISO,,,,
,3,O,L,2,9,-26,0,Incomplete,Pass,THUNDER,OX JILL SLOT RIGHT,,,25 LEAD POGO,,,,6 FIELD,,,,LEAD,,,,
,4,O,L,3,9,-26,0,Incomplete,Pass,TIGER,OZ LEFT,,53,Y/B MESH Z SIT,,,,DBL 3 CLOUD,,,,SCAT PASS PROTECTION,,,,
,5,K,L,4,9,-26,3,Return,Punt,,,,,,,,,,,,,,,,
,6,D,L,1,10,-39,4,Rush,Run,12,ACE,,,INSIDE ZONE,,FIELD,,CHECK,,,,,,,,
,7,D,L,2,6,-43,1,Rush,Run,12,PRO WING,,,STRETCH,,FIELD,,CHECK,,,,,,,,
,8,D,R,3,5,-44,13,Complete,Pass,10,DOUBLES,,,DBP,,TEXAS,,2,,,,,,,,
,9,D,R,1,10,43,7,Complete,Pass,10,DOUBLES,,,ZONE READ,,TEXAS,,2,,,,,,,,
,10,D,L,2,3,36,-1,Rush,Run,10,TRIPS,,,INSIDE ZONE,AGGIE,TEXAS,,1 PEEL,,,,,,,,
,11,D,L,3,4,37,0,Incomplete,Pass,10,TRIPS,,,QP,,TEXAS,,MAMBA,,,,,,,,
,12,K,L,4,4,37,0,Downed,Punt Rec,,,,,,,,,,,,,,,,
,13,O,L,1,10,-26,0,Incomplete,Pass,THUNDER,UNDER WEAK LIZ,,526 WHAM,POUT Y SHALLOW,,,,2,,,,ACTION PASS,,,,
,14,O,L,2,10,-26,5,Rush,Run,TIGER,OZ TREY RIGHT,,,11 ALERT VIPER,,,,3 WEAK,,,,INSIDE ZONE,,,,
,15,O,L,3,5,-31,6,1st DN,Pass,TIGER,LEFT,,,16 SPY Z BOLT,,,,DBL 3 CLOUD,,,,OUTSIDE ZONE,,,,
